city_id,city_name
14118,Pombal
9478,Pompei
14128,Ponte da Barca
14138,Ponte de Lima
15968,Pontevedra
6168,Poprad
28521,Pordenone
9038,Poreč
28731,Port Aventura
36661,"Port St. Lucie, FL"
36531,"Portland, OR"
14068,Porto
38691,Porto Cesareo
9488,Porto d'Ascoli
32681,Porto Empedocle
9668,Porto Garibaldi
21678,Porto Recanati
21708,Porto San Giorgio
21698,Porto Sant'Elpidio
9018,Portorož
9838,Posedarje
9198,Posušje
8798,Potenza
641,Potsdam
12878,Považská Bystrica
2035,Poznań
16798,Požarevac
46131,Požega (Serbia)
1374,Prague
7848,Prato
45571,Prelog
45461,Presečno
6188,Prešov
20898,Prgomet
25781,Prievidza
46041,Prijepolje
38501,Prilep
15848,Privlaka
30391,Prnjavor
16648,Prodol
47711,Protivín
44181,"Providence, RI"
22118,Przemyśl
10228,Ptuj
13598,Puebla de Sanabria
30991,Puente de Congosto
14508,Puget-sur-Argens
8988,Pula
9978,Punat
19398,Putignano
2045,Puttgarden
19488,Puławy
45491,Pušćine
40031,Pärnu
39331,Pécs
4688,Périgueux
30531,Póvoa do Varzim
47791,Přední Výtoň
5958,Přerov
